RYM Album, First Name,Last Name,First Name localized, Last Name localized,Title,Release_Date,Rating,Ownership,Purchase Date,Media Type,Review
"14774826","","$uicideboy$","","","Sing Me a Lullaby, My Sweet Temptation","2022","6","n","","",  ""
"9339376","","Young Thug &amp; Young Stoner Life Records","","","Slime Language","2018","3","n","","",  ""
"13224080","","Clairo","","","Sling","2021","6","n","","",  ""
"6881245","","Chipmunks on 16 Speed","","","Sludgefest","2015","8","n","","",  ""
"13223097","","Lorde","","","Solar Power","2021","5","n","","",  ""
"14565277","","Soccer Mommy","","","Sometimes, Forever","2022","7","n","","",  ""
"12984831","","Little Simz","","","Sometimes I Might Be Introvert","2021","8","n","","",  ""
"14782440","","Sam Prekop &amp; John McEntire","","","Sons Of","2022","7","n","","",  ""
"9185204","","Lykke Li","","","So Sad So Sexy","2018","7","n","","",  ""
"4030196","","The Mowgli's","","","Sound the Drum","2012","6","n","","",  ""
"12899943","","Olivia Rodrigo","","","Sour","2021","6","n","","",  ""
"776199","","Alcest","","","Souvenirs d'un autre monde","2007","9","n","","",  ""
"14916963","","Bladee","","","Spiderr","2022","7","n","","",  ""
"3693698","","Nujabes","","","Spiritual State","2011","8","n","","",  ""
"8482002","","Rae Sremmurd / Swae Lee / Slim Jxmmi","","","SR3MM","2018","2","n","","",  ""
"7323529","","Rae Sremmurd","","","SremmLife 2","2016","5","n","","",  ""
"14574380","","Yung Lean","","","Stardust","2022","4","n","","",  ""
"11290223","","Yung Lean","","","Starz","2020","6","n","","",  ""
"7808701","","Post Malone","","","Stoney","2016","6","n","","",  ""
"253","","Billy Joel","","","Storm Front","1989","6","n","","",  ""
"8603265","","Yung Lean","","","Stranger","2017","4","n","","",  ""
"8425478","","Phoebe Bridgers","","","Stranger in the Alps","2017","8","n","","",  ""
"7895031","","水曜日のカンパネラ [WEDNESDAY CAMPANELLA]","","","Superman","2017","7","n","","",  ""
"8674450","","Future &amp; Young Thug","","","SUPER SLIMEY","2017","4","n","","",  ""
"9215035","","Swae Lee","","","Swaecation","2018","2","n","","",  ""
"9219444","","Ariana Grande","","","Sweetener","2018","5","n","","",  ""
"7753946","","Denzel Curry","","","TA13OO","2018","7","n","","",  ""
"3207114","","Drake","","","Take Care","2011","4","n","","",  ""
"13048591","","TWICE","","","Taste of Love","2021","6","n","","",  ""
"13609417","","Lorde","","","Te ao mārama","2021","6","n","","",  ""
"8400108","","Beach House","","","Teen Dream","2017","6","n","","",  ""
"7580134","","Noname","","","Telefone","2016","8","n","","",  ""
"9268835","","A$AP Rocky","","","Testing","2018","5","n","","",  ""
"9560356","","Lil Wayne","","","Tha Carter V","2018","7","n","","",  ""
"9938727","","Ariana Grande","","","Thank U, Next","2019","6","n","","",  ""
"4560218","","The 1975","","","The 1975","2013","7","n","","",  ""
"11821095","","BLACKPINK","","","THE ALBUM","2020","5","n","","",  ""
"135750","","Max Richter","","","The Blue Notebooks","2004","8","n","","",  ""
"6269116","","Kanye West","","","The Life of Pablo","2016","8","n","","",  ""
"14853673","","Carly Rae Jepsen","","","The Loneliest Time","2022","8","n","","",  ""
"13753287","","Gospel","","","The Loser","2022","6","n","","",  ""
"3892102","","Death Grips","","","The Money Store","2012","7","n","","",  ""
"14585477","","Chineke! Orchestra / Max Richter / Elena Urioste","","","The New Four Seasons: Vivaldi Recomposed","2022","8","n","","",  ""
"7936919","","リーガルリリー [Regal Lily]","","","The Post","2016","9","n","","",  ""
"8405657","","リーガルリリー [Regal Lily]","","","The Radio","2017","7","n","","",  ""
"14730761","","Ghais Guevara","","","There Will Be No Super-Slave","2022","6","n","","",  ""
"1638","","Billy Joel","","","The Stranger","1977","10","n","","",  ""
"9374933","","リーガルリリー [Regal Lily]","","","The Telephone","2018","7","n","","",  ""
"11095779","","SPELLLING","","","The Turning Wheel","2021","6","n","","",  ""
"14711651","","ericdoa","","","Things With Wings","2022","5","n","","",  ""
"13063549","","Left at London","","","t.i.a.p.f.y.h.","2021","8","n","","",  ""
"12714294","","유키카 [YUKIKA]","","","timeabout,","2021","6","n","","",  ""
"4073929","","Listener","","","Time Is a Machine","2013","7","n","","",  ""
"6286502","","Kendrick Lamar","","","To Pimp a Butterfly","2015","8","n","","",  ""
"12722099","","파란노을 [Parannoul]","","","To See the Next Part of the Dream","2021","9","n","","",  ""
"1639","","Billy Joel","","","Turnstiles","1976","6","n","","",  ""
"14292561","","Post Malone","","","Twelve Carat Toothache","2022","3","n","","",  ""
"8079932","","TWICE","","","TWICEcoaster: Lane 2","2017","6","n","","",  ""
"8663416","","TWICE","","","Twicetagram","2017","5","n","","",  ""
"13945030","","Let's Eat Grandma","","","Two Ribbons","2022","9","n","","",  ""
"5053004","","Lana Del Rey","","","Ultraviolence","2014","7","n","","",  ""
"5583532","","SawanoHiroyuki[nZk]:Aimer","","","UnChild","2014","5","n","","",  ""
"5589212","","Yung Lean","","","Unknown Memory","2014","5","n","","",  ""
"9996482","","KOHH","","","UNTITLED","2019","6","n","","",  ""
"13611179","","Snail Mail","","","Valentine","2021","6","n","","",  ""
"5915638","","Anderson .Paak","","","Venice","2014","6","n","","",  ""
"10052961","","Anderson .Paak","","","Ventura","2019","7","n","","",  ""
"4322962","","Twenty One Pilots","","","Vessel","2013","7","n","","",  ""
"5652527","","Drake","","","Views","2016","3","n","","",  ""
"12969508","","Vince Staples","","","Vince Staples","2021","5","n","","",  ""
"13616182","","milet","","","Visions","2022","3","n","","",  ""
"1425811","","Coldplay","","","Viva la vida or Death and All His Friends","2008","9","n","","",  ""
"7187169","","Charli XCX","","","Vroom Vroom","2016","5","n","","",  ""
"12183532","","SEBii","","","VVSS","2020","6","n","","",  ""
"11101595","","SEBii","","","VVV","2020","6","n","","",  ""
"14663125","","SEBii","","","VVYELLOW","2022","5","n","","",  ""
"7092365","","Yung Lean","","","Warlord","2016","6","n","","",  ""
"3549644","","Jay-Z &amp; Kanye West","","","Watch the Throne","2011","6","n","","",  ""
"13337311","","Dave","","","We're All Alone in This Together","2021","6","n","","",  ""
"14533120","","Asian Glow &amp; Weatherday","","","Weatherglow","2022","7","n","","",  ""
"642576","","Modest Mouse","","","We Were Dead Before the Ship Even Sank","2007","7","n","","",  ""
"11181034","","Jessie Ware","","","What's Your Pleasure?","2020","7","n","","",  ""
"14328039","","Whatever the Weather","","","Whatever the Weather","2022","6","n","","",  ""
"9962213","","Billie Eilish","","","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","2019","6","n","","",  ""
"13612873","","Deb Never","","","Where Have All the Flowers Gone?","2021","6","n","","",  ""
"2467557","","Karen O and The Kids","","","Where the Wild Things Are","2009","7","n","","",  ""
"5538871","","Passenger","","","Whispers","2014","6","n","","",  ""
"12354994","","Mario Judah","","","Whole Lotta Red (Part 1)","2020","5","n","","",  ""
"12551263","","CHAI","","","WINK","2021","5","n","","",  ""
"3093588","","Listener","","","Wooden Heart","2010","8","n","","",  ""
"5259674","","Porter Robinson","","","Worlds","2014","5","n","","",  ""
"14485845","","Superorganism","","","World Wide Pop","2022","4","n","","",  ""
"283841","","Coldplay","","","X&amp;Y","2005","7","n","","",  ""
"3602159","","Danny Brown","","","XXX","2011","6","n","","",  ""
"4987616","","Radwimps","","","Ｘと○と罪と","2013","6","n","","",  ""
"9316718","","Kanye West","","","ye","2018","7","n","","",  ""
"9105913","","Death Grips","","","Year of the Snitch","2018","6","n","","",  ""
"4568422","","Kanye West","","","Yeezus","2013","9","n","","",  ""
"9985449","","Charly Bliss","","","Young Enough","2019","8","n","","",  ""
"8602637","","Young Thug &amp; Carnage","","","Young Martha","2017","4","n","","",  ""
"7038044","","Shing02 + Cradle Orchestra","","","Zone of Zen","2016","7","n","","",  ""
"10302259","","Denzel Curry","","","Zuu","2019","6","n","","",  ""
"14845117","","明日の叙景 [Asunojokei]","","","アイランド (Island)","2022","8","n","","",  ""
"12346944","","青葉市子 [Ichiko Aoba]","","","アダンの風 (Adan no kaze)","2020","8","n","","",  ""
"8415721","","春ねむり [Haru Nemuri]","","","アトム・ハート・マザー (Atom Heart Mother)","2017","7","n","","",  ""
"1579350","","ミドリ [Midori]","","","あらためまして、はじめまして、ミドリです。 (Aratamemashite, hajimemashite, Midori desu.)","2008","7","n","","",  ""
"13925261","","リーガルリリー [Regal Lily]","","","アルケミラ","2021","8","n","","",  ""
"10465751","","ヨルシカ [Yorushika]","","","エルマ (Elma)","2019","7","n","","",  ""
"11399761","","4s4ki","","","おまえのドリームランド (Omae no Dreamland)","2020","7","n","","",  ""
"7330475","","水曜日のカンパネラ [WEDNESDAY CAMPANELLA]","","","ジパング","2015","6","n","","",  ""
"10096760","","ヨルシカ [Yorushika]","","","だから僕は音楽を辞めた","2019","7","n","","",  ""
"2012327","","Mass of the Fermenting Dregs","","","ワールドイズユアーズ (World Is Yours)","2009","5","n","","",  ""
"13720200","","tricot","","","上出来 (Jodeki)","2021","6","n","","",  ""
"9342291","","ヨルシカ [Yorushika]","","","夏草が邪魔をする","2017","7","n","","",  ""
"12496717","","森ゆに [Yuni Mori]","","","山の朝霧 (Yama no Asagiri)","2020","7","n","","",  ""
"7619457","","星野源 [Gen Hoshino]","","","恋 (Koi)","2016","7","n","","",  ""
"1646605","","Lamp","","","恋人へ (Koibito e)","2004","8","n","","",  ""
"9076030","","春ねむり [Haru Nemuri]","","","春と修羅 (Haru to Shura)","2018","8","n","","",  ""
"5074964","","宇宙コンビニ [Uchu Conbini]","","","染まる音を確認したら (Somaru oto wo kakunin shitara)","2013","7","n","","",  ""
"5970822","","KOHH","","","梔子","2015","6","n","","",  ""
"5950356","","水曜日のカンパネラ [WEDNESDAY CAMPANELLA]","","","私を鬼ヶ島に連れてって (Watashi wo Onigashima ni tsuretette)","2014","8","n","","",  ""
"9794491","","ヨルシカ [Yorushika]","","","負け犬にアンコールはいらない","2018","6","n","","",  ""
"11920573","","4s4ki &amp; Masayoshi Iimori","","","遺影にイェーイ (Iei Ni Yeah)","2020","7","n","","",  ""
"14526168","","MUNA","","","MUNA","2022","5","n","","",  ""
"14872399","Haruka","Nakamura","","","Light years (THE NORTH FACE Sphere 2022 S/A)","2022","6","n","","",  ""
"4344508","Kenichiro","Nishihara","","","Illuminus","2012","7","n","","",  ""
"8232334","","Norikiyo","","","Bouquet","2017","7","n","","",  ""
"6051202","","Norikiyo","","","如雨露","2014","7","n","","",  ""
"6704270","","Norikiyo","","","実験的断片集","2015","7","n","","",  ""
"9647923","","Norikiyo","","","馬鹿と鋏と","2018","7","n","","",  ""
"9079","The","Notorious B.I.G.","","","Ready to Die","1994","8","n","","",  ""
"14860842","Tobe","Nwigwe","","","MoMINTs","2022","6","n","","",  ""
"10671056","Daniel","Olsén","","","Sayonara Wild Hearts","2019","8","n","","",  ""
"9280601","Anderson",".Paak","","","Oxnard","2018","5","n","","",  ""
"13474256","","Palmistry","","","Wyrdo","2021","8","n","","",  ""
"10738615","","Playboi Carti","","","Whole Lotta Red","2020","5","n","","",  ""
"8762033","","Post Malone","","","beerbongs &amp; bentleys","2018","5","n","","",  ""
"8652224","","PUNPEE","","","Modern Times","2017","7","n","","",  ""
"9275699","","Pusha T","","","DAYTONA","2018","7","n","","",  ""
"768234","","Radwimps","","","Radwimps","2003","5","n","","",  ""
"768237","","Radwimps","","","Radwimps 2 ～発展途上～ (Radwimps 2 ~Hattentojō~)","2005","5","n","","",  ""
"768238","","Radwimps","","","Radwimps 3 ～無人島に持っていき忘れた一枚～ (Radwimps 3 ~Mujintō ni motte ikiwasureta ichimai~)","2006","6","n","","",  ""
"769145","","Radwimps","","","Radwimps 4 ～おかずのごはん～ (~Okazu no gohan~)","2006","9","n","","",  ""
"10312972","","Radwimps","","","Weathering With You (天気の子)","2019","6","n","","",  ""
"7445773","","Radwimps","","","Your Name","2016","7","n","","",  ""
"2183180","","Radwimps","","","アルトコロニーの定理 (Altocolony no Teiri)","2009","7","n","","",  ""
"7782959","","Radwimps","","","人間開花 (Ningen kaika)","2016","7","n","","",  ""
"14383228","","Samia","","","Desperado / Born on a Train","2022","7","n","","",  ""
"11912567","","Samia","","","The Baby","2020","8","n","","",  ""
"12530809","","Samia","","","The Baby Reimagined","2021","7","n","","",  ""
"6232368","Travis","Scott","","","Rodeo","2015","7","n","","",  ""
"76041","The","Shins","","","Chutes Too Narrow","2003","6","n","","",  ""
"7834202","The","Shins","","","Heartworms","2017","5","n","","",  ""
"4652","The","Shins","","","Oh, Inverted World","2001","7","n","","",  ""
"3783416","The","Shins","","","Port of Morrow","2012","7","n","","",  ""
"8826720","The","Shins","","","The Worm's Heart","2018","5","n","","",  ""
"14859396","","Sobs","","","Air Guitar","2022","8","n","","",  ""
"14423756","Regina","Spektor","","","Home, Before and After","2022","7","n","","",  ""
"14158482","","STARKIDS","","","4D","2021","8","n","","",  ""
"10458832","Joanna","Sternberg","","","Then I Try Some More","2019","7","n","","",  ""
"14719965","","TWICE","","","Celebrate","2022","7","n","","",  ""
"8826586","","TWICE","","","Merry &amp; Happy","2017","5","n","","",  ""
"10255382","","Tyler, the Creator","","","Igor","2019","8","n","","",  ""
"14282728","","Umru","","","Comfort Noise","2022","8","n","","",  ""
"10735861","","vividboooy","","","Synchronicity","2019","6","n","","",  ""
"13442415","The","Weeknd","","","Dawn FM","2022","7","n","","",  ""
"977025","Kanye","West","","","Graduation","2007","8","n","","",  ""
"10754231","Kanye","West","","","JESUS IS KING","2019","5","n","","",  ""
"218218","Kanye","West","","","Late Registration","2005","9","n","","",  ""
"94103","Kanye","West","","","The College Dropout","2004","10","n","","",  ""
"14470493","","Windows 96","","","Empty Hiding World","2022","7","n","","",  ""
"10513793","G","Yamazawa","","","Money Is Time","2018","6","n","","",  ""
"12153458","G","Yamazawa","","","Thinkpeace","2020","6","n","","",  ""
"14792065","","あいみょん","","Aimyon","瞳へ落ちるよレコード (Falling Into Your Eyes Record)","2022","5","n","","",  ""
"11698866","","あみのず","","Aminos","水とフォルム","2018","8","n","","",  ""
"12104796","","ちゃんみな","","CHANMINA","Angel","2020","6","n","","",  ""
"12937241","","ちゃんみな","","CHANMINA","Bijin","2021","7","n","","",  ""
"11131976","","ちゃんみな","","CHANMINA","note-book -u.-","2020","6","n","","",  ""
"9012962","","明日の叙景","","Asunojokei","わたしと私だったもの (Awakening)","2018","6","n","","",  ""
"11139416","","當山みれい","Mirei","Touyama","Take Me Away","2020","5","n","","",  ""
"8792507","","福居良","Ryo","Fukui","My Favorite Tune","1994","7","n","","",  ""
